id,common_name,latitude,longitude,neighborhood,scientific_name
1091700090,London planetree,40.4525995,-80.00882235,Allegheny Center,Platanus x acerifolia
2121692709,Maple: Freeman,40.4523975,-80.00876617,Allegheny Center,Acer x freemanii
1630243576,Maple: Freeman,40.45246738,-80.00879221,Allegheny Center,Acer x freemanii
1081336124,Honeylocust: Thornless,40.45335688,-80.00810935,Allegheny Center,Gleditsia triacanthos inermis
1629011819,Maple: Freeman,40.45253581,-80.00880243,Allegheny Center,Acer x freemanii
976363635,Honeylocust: Thornless,40.45279226,-80.00478258,Allegheny Center,Gleditsia triacanthos inermis
125260000,Honeylocust: Thornless,40.45313939,-80.00489505,Allegheny Center,Gleditsia triacanthos inermis
1811397907,Honeylocust: Thornless,40.45321607,-80.00491443,Allegheny Center,Gleditsia triacanthos inermis
1621637301,Honeylocust: Thornless,40.45298596,-80.00465524,Allegheny Center,Gleditsia triacanthos inermis
1434816053,Honeylocust: Thornless,40.45305819,-80.00467716,Allegheny Center,Gleditsia triacanthos inermis
1509897004,Honeylocust: Thornless,40.45285578,-80.00481832,Allegheny Center,Gleditsia triacanthos inermis
1921763679,Honeylocust: Thornless,40.45301716,-80.00484053,Allegheny Center,Gleditsia triacanthos inermis
1004373725,Linden: Littleleaf,40.44993401,-80.00694914,Allegheny Center,Tilia cordata
1870270602,Linden: Littleleaf,40.45003078,-80.0070639,Allegheny Center,Tilia cordata
1667845732,Honeylocust: Thornless,40.45290942,-80.00483357,Allegheny Center,Gleditsia triacanthos inermis
716953563,Honeylocust: Thornless,40.45294522,-80.00484149,Allegheny Center,Gleditsia triacanthos inermis
40249160,Honeylocust: Thornless,40.45308094,-80.00486284,Allegheny Center,Gleditsia triacanthos inermis
478214465,Honeylocust: Thornless,40.45333524,-80.00408286,Allegheny Center,Gleditsia triacanthos inermis
481355286,Honeylocust: Thornless,40.45324821,-80.00453354,Allegheny Center,Gleditsia triacanthos inermis
964690807,Ginkgo,40.45245325,-80.01208223,Allegheny Center,Ginkgo biloba
67753947,Ginkgo,40.45248646,-80.01214647,Allegheny Center,Ginkgo biloba
765441135,Ginkgo,40.45253358,-80.01220218,Allegheny Center,Ginkgo biloba
1120255739,Ginkgo,40.45255301,-80.01226595,Allegheny Center,Ginkgo biloba
609587833,Ginkgo,40.45258639,-80.01232117,Allegheny Center,Ginkgo biloba
303692646,Ginkgo,40.45261268,-80.01238521,Allegheny Center,Ginkgo biloba
77343622,Sycamore: American,40.45251016,-80.01313794,Allegheny Center,Platanus occidentalis
1954626681,Sycamore: American,40.45199625,-80.01189441,Allegheny Center,Platanus occidentalis
963394139,Sycamore: American,40.45188503,-80.01159305,Allegheny Center,Platanus occidentalis
445557261,Sycamore: American,40.45179322,-80.01135551,Allegheny Center,Platanus occidentalis
2141637788,Ginkgo,40.45175061,-80.01099855,Allegheny Center,Ginkgo biloba
1260987394,Ginkgo,40.45181152,-80.01105469,Allegheny Center,Ginkgo biloba
781752942,Ginkgo,40.45187207,-80.01112886,Allegheny Center,Ginkgo biloba
1400087036,Ginkgo,40.45191216,-80.01119336,Allegheny Center,Ginkgo biloba
883651627,Ginkgo,40.45195964,-80.011231,Allegheny Center,Ginkgo biloba
1642225915,Ginkgo,40.45199282,-80.01129527,Allegheny Center,Ginkgo biloba
334106966,Ginkgo,40.45203238,-80.01138678,Allegheny Center,Ginkgo biloba
1035113369,Ginkgo,40.45208004,-80.01141541,Allegheny Center,Ginkgo biloba
206756311,Ginkgo,40.45211324,-80.01147968,Allegheny Center,Ginkgo biloba
1325866767,Ginkgo,40.45215383,-80.01151709,Allegheny Center,Ginkgo biloba
1191406662,Ginkgo,40.4521805,-80.0115631,Allegheny Center,Ginkgo biloba
1004676214,Ginkgo,40.45220697,-80.01161808,Allegheny Center,Ginkgo biloba
45537935,Ginkgo,40.45223381,-80.01165507,Allegheny Center,Ginkgo biloba
487602251,Ginkgo,40.45226666,-80.01173734,Allegheny Center,Ginkgo biloba
794909629,Ginkgo,40.45230019,-80.01178357,Allegheny Center,Ginkgo biloba
1164022253,Ginkgo,40.45232686,-80.01182954,Allegheny Center,Ginkgo biloba
241702479,Ginkgo,40.4523537,-80.0118895,Allegheny Center,Ginkgo biloba
1447937350,Ginkgo,40.45237312,-80.01195327,Allegheny Center,Ginkgo biloba
1603851356,Ginkgo,40.45241372,-80.01199072,Allegheny Center,Ginkgo biloba
1680497241,Ginkgo,40.45244763,-80.01201892,Allegheny Center,Ginkgo biloba
556941211,Ginkgo,40.45262487,-80.01246678,Allegheny Center,Ginkgo biloba
492030762,Ginkgo,40.45267853,-80.01254072,Allegheny Center,Ginkgo biloba
88124345,Ginkgo,40.45271226,-80.01257794,Allegheny Center,Ginkgo biloba
599042659,Ginkgo,40.45273855,-80.01264194,Allegheny Center,Ginkgo biloba
1305295127,Ginkgo,40.45275127,-80.0126965,Allegheny Center,Ginkgo biloba
798115328,Beech: European,40.45272362,-80.01279011,Allegheny Center,Fagus sylvatica
855346568,Hawthorn: spp.,40.45272592,-80.01302469,Allegheny Center,Crataegus spp.
1813859300,Hawthorn: spp.,40.45279548,-80.01299094,Allegheny Center,Crataegus spp.
1111441206,Hawthorn: spp.,40.45287757,-80.01302076,Allegheny Center,Crataegus spp.
1913958133,Maple: Norway,40.45287934,-80.01293063,Allegheny Center,Acer platanoides
1012766656,Ginkgo,40.45289824,-80.01302145,Allegheny Center,Ginkgo biloba
697686854,Ginkgo,40.45295879,-80.01309563,Allegheny Center,Ginkgo biloba
862765268,Ginkgo,40.45296444,-80.01315897,Allegheny Center,Ginkgo biloba
1433303590,Ginkgo,40.45300503,-80.01319639,Allegheny Center,Ginkgo biloba
804959951,Ginkgo,40.45303152,-80.01325141,Allegheny Center,Ginkgo biloba
426729162,Ginkgo,40.4530649,-80.01330663,Allegheny Center,Ginkgo biloba
999203654,Ginkgo,40.45309808,-80.01337086,Allegheny Center,Ginkgo biloba
2058606596,Ginkgo,40.4531311,-80.01344415,Allegheny Center,Ginkgo biloba
1237864219,Ginkgo,40.45315086,-80.01348989,Allegheny Center,Ginkgo biloba
566746758,Ginkgo,40.4531913,-80.01353636,Allegheny Center,Ginkgo biloba
2096181527,Ginkgo,40.45321856,-80.01362343,Allegheny Center,Ginkgo biloba
1675614195,Ginkgo,40.45323163,-80.01365992,Allegheny Center,Ginkgo biloba
876582649,Ginkgo,40.45325792,-80.01372396,Allegheny Center,Ginkgo biloba
2098904988,Ginkgo,40.45331126,-80.01381594,Allegheny Center,Ginkgo biloba
658953973,Ginkgo,40.45337816,-80.0139174,Allegheny Center,Ginkgo biloba
1837111531,Ginkgo,40.45344401,-80.01407291,Allegheny Center,Ginkgo biloba
1353547491,Ginkgo,40.45349043,-80.01416466,Allegheny Center,Ginkgo biloba
1038899288,Ginkgo,40.45351657,-80.01423772,Allegheny Center,Ginkgo biloba
1069222415,Oak: Northern Red,40.45333136,-80.01419541,Allegheny Center,Quercus rubra
1669272288,Elm: spp.,40.45320232,-80.01410089,Allegheny Center,Ulmus spp.
1676642718,Maple: Norway,40.45303233,-80.01398695,Allegheny Center,Acer platanoides
500361728,Elm: spp.,40.45302915,-80.01379745,Allegheny Center,Ulmus spp.
356933665,Oak: Scarlet,40.45293133,-80.01351458,Allegheny Center,Quercus coccinea
85240066,Oak: Scarlet,40.45287908,-80.01336851,Allegheny Center,Quercus coccinea
378133416,Elm: spp.,40.45279928,-80.01322155,Allegheny Center,Ulmus spp.
978683566,Ginkgo,40.45276555,-80.01318433,Allegheny Center,Ginkgo biloba
1470262286,Elm: spp.,40.45263439,-80.01319797,Allegheny Center,Ulmus spp.
1424127907,Oak: Pin,40.45270696,-80.01344907,Allegheny Center,Quercus palustris
1962851252,Oak: Pin,40.45269,-80.01361087,Allegheny Center,Quercus palustris
1710282708,Sweetgum: American,40.45280792,-80.01356972,Allegheny Center,Liquidambar styraciflua
1694086257,Oak: Pin,40.45277687,-80.01374905,Allegheny Center,Quercus palustris
852907262,Linden: Littleleaf,40.45290768,-80.01375344,Allegheny Center,Tilia cordata
562189065,Oak: Pin,40.45289656,-80.01396953,Allegheny Center,Quercus palustris
628607317,Oak: Pin,40.45277369,-80.01391127,Allegheny Center,Quercus palustris
67398524,Elm: spp.,40.45264323,-80.01388888,Allegheny Center,Ulmus spp.
1390393460,Linden: Littleleaf,40.45214585,-80.01087374,Allegheny Center,Tilia cordata
146629831,Elm: spp.,40.45215852,-80.01074839,Allegheny Center,Ulmus spp.
1780591061,Beech: European,40.45234903,-80.01087203,Allegheny Center,Fagus sylvatica
457917613,Maple: Red,40.45250915,-80.01078721,Allegheny Center,Acer rubrum
1447499584,Pagodatree: Japanese,40.45195607,-80.01059398,Allegheny Center,Styphnolobium japonicum
430029310,Linden: American,40.45279818,-80.01091501,Allegheny Center,Tilia americana
1918544810,Oak: Swamp White,40.45278671,-80.01114914,Allegheny Center,Quercus bicolor
1609263054,Linden: Littleleaf,40.45260664,-80.01154896,Allegheny Center,Tilia cordata
1694049275,Cherry/Plum: spp.,40.45276922,-80.01188471,Allegheny Center,Prunus spp.
1444803715,Cherry/Plum: spp.,40.45280224,-80.01195796,Allegheny Center,Prunus spp.
1261014111,Cherry/Plum: spp.,40.45282111,-80.01204878,Allegheny Center,Prunus spp.
1192065019,Cherry/Plum: spp.,40.45285449,-80.01210403,Allegheny Center,Prunus spp.
414261527,Cherry/Plum: spp.,40.45288081,-80.01216803,Allegheny Center,Prunus spp.
1113601459,Cherry/Plum: spp.,40.45290039,-80.01222279,Allegheny Center,Prunus spp.
404569562,Cherry/Plum: spp.,40.45293394,-80.01226902,Allegheny Center,Prunus spp.
582870039,Oak: Pin,40.45323331,-80.01272734,Allegheny Center,Quercus palustris
1865243841,Maple: Trident,40.45335935,-80.01262334,Allegheny Center,Acer buergerianum
1105462154,Linden: Littleleaf,40.45357803,-80.01298233,Allegheny Center,Tilia cordata
336399729,Cherry/Plum: spp.,40.45356108,-80.01314409,Allegheny Center,Prunus spp.
787377607,Maple: Red,40.45368483,-80.01315727,Allegheny Center,Acer rubrum
1415792694,Hawthorn: spp.,40.45361881,-80.01336249,Allegheny Center,Crataegus spp.
426392505,Hawthorn: spp.,40.45358931,-80.01346071,Allegheny Center,Crataegus spp.
1750105315,Sweetgum: American,40.45403632,-80.01350278,Allegheny Center,Liquidambar styraciflua
1534212016,Elm: spp.,40.45395264,-80.01355407,Allegheny Center,Ulmus spp.
1472346933,Pagodatree: Japanese,40.45266083,-80.01179089,Allegheny Center,Styphnolobium japonicum
255844081,Stump,40.45390975,-80.0136338,Allegheny Center,Stump
1464889205,Oak: Northern Red,40.45399018,-80.01370803,Allegheny Center,Quercus rubra
1999540330,Oak: Northern Red,40.45397446,-80.01380671,Allegheny Center,Quercus rubra
1942614195,Elm: spp.,40.45396475,-80.01395067,Allegheny Center,Ulmus spp.
637532966,Maple: Norway,40.45386058,-80.01399229,Allegheny Center,Acer platanoides
1411082230,Maple: Norway,40.45385192,-80.01408219,Allegheny Center,Acer platanoides
1192302968,Oak: Northern Red,40.45391356,-80.0141023,Allegheny Center,Quercus rubra
2126946046,Elm: spp.,40.45390985,-80.01429157,Allegheny Center,Ulmus spp.
1812116731,Baldcypress: Common,40.4538876,-80.01437199,Allegheny Center,Taxodium distichum
458730033,Ginkgo,40.45380868,-80.01417994,Allegheny Center,Ginkgo biloba
341376862,Ginkgo,40.45378219,-80.01412496,Allegheny Center,Ginkgo biloba
1526123506,Ginkgo,40.45374919,-80.01405167,Allegheny Center,Ginkgo biloba
705743980,Ginkgo,40.45372235,-80.01401472,Allegheny Center,Ginkgo biloba
679224509,Ginkgo,40.45367593,-80.01392297,Allegheny Center,Ginkgo biloba
591355908,Ginkgo,40.45364944,-80.01386795,Allegheny Center,Ginkgo biloba
86768644,Ginkgo,40.45362315,-80.01380394,Allegheny Center,Ginkgo biloba
1966065228,Ginkgo,40.45356964,-80.01372098,Allegheny Center,Ginkgo biloba
505551921,Ginkgo,40.45353664,-80.0136477,Allegheny Center,Ginkgo biloba
651643127,Ginkgo,40.45350326,-80.01359248,Allegheny Center,Ginkgo biloba
87480468,Ginkgo,40.45347697,-80.01352847,Allegheny Center,Ginkgo biloba
2016912320,Ginkgo,40.45343706,-80.01345496,Allegheny Center,Ginkgo biloba
1933293582,Ginkgo,40.45341042,-80.01340899,Allegheny Center,Ginkgo biloba
1384931421,Ginkgo,40.45338445,-80.01332695,Allegheny Center,Ginkgo biloba
2040167435,Ginkgo,40.45335779,-80.01328094,Allegheny Center,Ginkgo biloba
1958096247,Ginkgo,40.45332019,-80.01323784,Allegheny Center,Ginkgo biloba
1433871992,Ginkgo,40.45330076,-80.01317407,Allegheny Center,Ginkgo biloba
834351242,Ginkgo,40.45327427,-80.01311905,Allegheny Center,Ginkgo biloba
378914838,Ginkgo,40.45325505,-80.01304626,Allegheny Center,Ginkgo biloba
144872785,Ginkgo,40.45322237,-80.01295497,Allegheny Center,Ginkgo biloba
1883534203,Ginkgo,40.4529429,-80.01244955,Allegheny Center,Ginkgo biloba
1981440429,Ginkgo,40.45291644,-80.01239457,Allegheny Center,Ginkgo biloba
78234343,Ginkgo,40.45289648,-80.01235781,Allegheny Center,Ginkgo biloba
196884682,Ginkgo,40.45284596,-80.01232524,Allegheny Center,Ginkgo biloba
665778836,Ginkgo,40.45281276,-80.012261,Allegheny Center,Ginkgo biloba
1962160553,Ginkgo,40.45278682,-80.01217897,Allegheny Center,Ginkgo biloba
1815040539,Ginkgo,40.45274656,-80.01212349,Allegheny Center,Ginkgo biloba
406049631,Ginkgo,40.45273387,-80.01206896,Allegheny Center,Ginkgo biloba
203629429,Ginkgo,40.45271409,-80.01202319,Allegheny Center,Ginkgo biloba
1706285054,Ginkgo,40.45268124,-80.01194092,Allegheny Center,Ginkgo biloba
1632346298,Ginkgo,40.45265495,-80.01187692,Allegheny Center,Ginkgo biloba
1326692414,Ginkgo,40.45260179,-80.01177593,Allegheny Center,Ginkgo biloba
1516503587,Ginkgo,40.45258256,-80.01170314,Allegheny Center,Ginkgo biloba
1803377346,Ginkgo,40.45252201,-80.01162894,Allegheny Center,Ginkgo biloba
1406271226,Ginkgo,40.45250912,-80.01158343,Allegheny Center,Ginkgo biloba
1971310460,Ginkgo,40.45239675,-80.01143229,Allegheny Center,Ginkgo biloba
1902068722,Ginkgo,40.45221683,-80.01111961,Allegheny Center,Ginkgo biloba
1477289633,Ginkgo,40.45216988,-80.01105491,Allegheny Center,Ginkgo biloba
374682915,Ginkgo,40.45215716,-80.01100035,Allegheny Center,Ginkgo biloba
773569859,Ginkgo,40.45210968,-80.01096271,Allegheny Center,Ginkgo biloba
1589398229,Ginkgo,40.4520763,-80.01090746,Allegheny Center,Ginkgo biloba
275722959,Ginkgo,40.45202899,-80.0108608,Allegheny Center,Ginkgo biloba
1996868322,Ginkgo,40.45199544,-80.01081456,Allegheny Center,Ginkgo biloba
1420348406,Ginkgo,40.45195502,-80.01076813,Allegheny Center,Ginkgo biloba
1875806277,Ginkgo,40.45191478,-80.01071265,Allegheny Center,Ginkgo biloba
163919170,Ginkgo,40.45187434,-80.01066622,Allegheny Center,Ginkgo biloba
1427230040,Ginkgo,40.45182738,-80.01060153,Allegheny Center,Ginkgo biloba
661220607,Elm: American,40.45182609,-80.01069289,Allegheny Center,Ulmus americana
1952146371,Sweetgum: American,40.45196705,-80.01032142,Allegheny Center,Liquidambar styraciflua
595360196,Sweetgum: American,40.4520412,-80.01040507,Allegheny Center,Liquidambar styraciflua
1154015004,Beech: European,40.45212224,-80.01048895,Allegheny Center,Fagus sylvatica
2001878508,Oak: Turkey,40.45218243,-80.01022943,Allegheny Center,Quercus cerris
899292619,Tree-of-Heaven,40.45208852,-80.01010001,Allegheny Center,Ailanthus altissima
463824290,Hickory: Pignut,40.45227441,-80.01010624,Allegheny Center,Carya glabra
2088459766,Beech: American,40.45243453,-80.01002142,Allegheny Center,Fagus grandifolia
124731254,Linden: Littleleaf,40.45242341,-80.0102375,Allegheny Center,Tilia cordata
306014523,Oak: Scarlet,40.45248185,-80.01041984,Allegheny Center,Quercus coccinea
255122179,Elm: spp.,40.45268434,-80.01063406,Allegheny Center,Ulmus spp.
968838530,Ginkgo,40.45266422,-80.01025456,Allegheny Center,Ginkgo biloba
